artist,n_reviews,artist_norm,is_various,is_suspicious_token
baobinga,1,baobinga,False,False
baptist generals,1,baptist generals,False,False
barbara manning,2,barbara manning,False,False
barbara morgenstern,5,barbara morgenstern,False,False
barbez,1,barbez,False,False
barcelona,3,barcelona,False,False
bardo pond,6,bardo pond,False,False
bare mutants,1,bare mutants,False,False
bark psychosis,1,bark psychosis,False,False
barn owl,1,barn owl,False,False
barnett,1,barnett,False,False
barnt,1,barnt,False,False
baroness,5,baroness,False,False
barr,2,barr,False,False
barry adamson,3,barry adamson,False,False
bart davenport,1,bart davenport,False,False
barton carroll,2,barton carroll,False,False
basement,1,basement,False,False
basement jaxx,7,basement jaxx,False,False
basia bulat,2,basia bulat,False,False
basic channel,1,basic channel,False,False
basic soul unit,1,basic soul unit,False,False
bass drum of death,2,bass drum of death,False,False
bassnectar,1,bassnectar,False,False
bat for lashes,4,bat for lashes,False,False
baths,4,baths,False,False
batida,1,batida,False,False
batillus,1,batillus,False,False
bats,1,bats,False,False
battle trance,1,battle trance,False,False
battles,8,battles,False,False
battletorn,1,battletorn,False,False
bauhaus,1,bauhaus,False,False
bbq show,2,bbq show,False,False
bbu,1,bbu,False,False
bc camplight,1,bc camplight,False,False
be your own pet,2,be your own pet,False,False
beach fossils,3,beach fossils,False,False
beach house,6,beach house,False,False
beach slang,3,beach slang,False,False
beaches,1,beaches,False,False
beachwood sparks,5,beachwood sparks,False,False
beacon,1,beacon,False,False
beady eye,1,beady eye,False,False
beak>,2,beak>,False,False
beanie sigel,4,beanie sigel,False,False
beans,7,beans,False,False
bear hands,1,bear hands,False,False
bear in heaven,5,bear in heaven,False,False
bear vs. shark,1,bear vs. shark,False,False
bearsuit,1,bearsuit,False,False
beastie boys,9,beastie boys,False,False
beat happening,2,beat happening,False,False
beat spacek,1,beat spacek,False,False
beatking,2,beatking,False,False
beatriz ferreyra,1,beatriz ferreyra,False,False
beauty pill,2,beauty pill,False,False
bebel gilberto,1,bebel gilberto,False,False
bebetune$,1,bebetune$,False,False
beck,10,beck,False,False
bedhead,1,bedhead,False,False
bee gees,2,bee gees,False,False
beedeegee,1,beedeegee,False,False
beep beep,1,beep beep,False,False
beequeen,1,beequeen,False,False
begushkin,1,begushkin,False,False
behemoth,1,behemoth,False,False
behold...the arctopus,1,behold...the arctopus,False,False
beirut,6,beirut,False,False
beirut slump,1,beirut slump,False,False
belbury poly,1,belbury poly,False,False
bell gardens,1,bell gardens,False,False
bell orchestre,3,bell orchestre,False,False
bell witch,2,bell witch,False,False
bell x1,1,bell x1,False,False
belle,13,belle,False,False
bellini,2,bellini,False,False
belong,3,belong,False,False
bembeya jazz national,1,bembeya jazz national,False,False
ben,5,ben,False,False
ben bridwell,1,ben bridwell,False,False
ben browning,1,ben browning,False,False
ben chasny,1,ben chasny,False,False
ben folds,1,ben folds,False,False
ben folds five,7,ben folds five,False,False
ben frost,4,ben frost,False,False
ben gibbard,1,ben gibbard,False,False
ben harper,2,ben harper,False,False
ben khan,1,ben khan,False,False
ben klock,2,ben klock,False,False
ben kweller,5,ben kweller,False,False
ben lee,2,ben lee,False,False
ben salisbury,1,ben salisbury,False,False
ben sollee,1,ben sollee,False,False
ben ufo,1,ben ufo,False,False
ben watt,1,ben watt,False,False
benedek,1,benedek,False,False
benevento,1,benevento,False,False
benga,1,benga,False,False
benjamin brunn,1,benjamin brunn,False,False
benjamin damage,2,benjamin damage,False,False
benjamin gibbard,1,benjamin gibbard,False,False
benjamin lazar davis,1,benjamin lazar davis,False,False
benji hughes,1,benji hughes,False,False
benjy ferree,2,benjy ferree,False,False
benni hemm hemm,1,benni hemm hemm,False,False
benny hester,1,benny hester,False,False
benot pioulard,5,benot pioulard,False,False
bent shapes,2,bent shapes,False,False
bergheim 34,1,bergheim 34,False,False
bergraven,2,bergraven,False,False
berner,1,berner,False,False
bert jansch,2,bert jansch,False,False
best coast,5,best coast,False,False
best of seth,1,best of seth,False,False
beth gibbons,1,beth gibbons,False,False
beth hirsch,1,beth hirsch,False,False
beth israel,1,beth israel,False,False
beth orton,6,beth orton,False,False
bettie serveert,3,bettie serveert,False,False
betty davis,2,betty davis,False,False
bettye lavette,2,bettye lavette,False,False
beulah,3,beulah,False,False
bevel,1,bevel,False,False
beverly,1,beverly,False,False
bexar bexar,1,bexar bexar,False,False
beyonc,5,beyonc,False,False
bibi bourelly,1,bibi bourelly,False,False
bibio,10,bibio,False,False
bible black,2,bible black,False,False
big baby gandhi,1,big baby gandhi,False,False
big black delta,1,big black delta,False,False
big boi,2,big boi,False,False
big boys,1,big boys,False,False
big business,5,big business,False,False
big dipper,1,big dipper,False,False
big freedia,1,big freedia,False,False
big grams,1,big grams,False,False
big k.r.i.t.,7,big k.r.i.t.,False,False
big noble,1,big noble,False,False
big sean,2,big sean,False,False
big star,6,big star,False,False
big thief,1,big thief,False,False
big troubles,2,big troubles,False,False
big ups,2,big ups,False,False
big'n,1,big'n,False,False
bigger lovers,1,bigger lovers,False,False
biirdie,1,biirdie,False,False
bike for three!,1,bike for three!,False,False
bikeride,2,bikeride,False,False
bikini kill,2,bikini kill,False,False
bilal,2,bilal,False,False
bill callahan,6,bill callahan,False,False
bill dixon,1,bill dixon,False,False
bill evans,1,bill evans,False,False
bill fay,2,bill fay,False,False
bill frisell,1,bill frisell,False,False
bill hicks,1,bill hicks,False,False
bill laswell,2,bill laswell,False,False
bill orcutt,4,bill orcutt,False,False
bill ryder-jones,1,bill ryder-jones,False,False
bill wells,1,bill wells,False,False
billie holiday,2,billie holiday,False,False
billow observatory,1,billow observatory,False,False
billy bragg,4,billy bragg,False,False
billy corgan,1,billy corgan,False,False
billy hart,1,billy hart,False,False
billy mahonie,1,billy mahonie,False,False
billy woods,1,billy woods,False,False
bing,2,bing,False,False
bing ji ling,1,bing ji ling,False,False
binki shapiro,1,binki shapiro,False,False
bionaut,1,bionaut,False,False
biosphere,4,biosphere,False,False
birchville cat motel,2,birchville cat motel,False,False
bird show,1,bird show,False,False
birdapres,1,birdapres,False,False
birddog,1,birddog,False,False
birdman,1,birdman,False,False
birdmonster,2,birdmonster,False,False
birdtree,1,birdtree,False,False
birdwatcher,1,birdwatcher,False,False
bis,3,bis,False,False
bishop allen,2,bishop allen,False,False
bishop nehru,1,bishop nehru,False,False
bison b.c.,1,bison b.c.,False,False
bitchin bajas,5,bitchin bajas,False,False
bitter,1,bitter,False,False
bitter weeks,1,bitter weeks,False,False
